time_iso8601,forks_cumulative
2021-01-26 00:00:00+00:00,1
2021-01-27 00:00:00+00:00,2
2021-02-16 00:00:00+00:00,3
2021-04-27 00:00:00+00:00,5
2021-05-03 00:00:00+00:00,6
2021-05-12 00:00:00+00:00,7
2021-05-20 00:00:00+00:00,8
2021-06-11 00:00:00+00:00,9
2021-07-06 00:00:00+00:00,10
2021-07-12 00:00:00+00:00,11
2021-07-14 00:00:00+00:00,12
2021-09-22 00:00:00+00:00,13
2022-01-14 00:00:00+00:00,14
2022-02-15 00:00:00+00:00,15
2022-02-21 00:00:00+00:00,16
2022-02-24 00:00:00+00:00,17
2022-02-28 00:00:00+00:00,18
2022-03-26 00:00:00+00:00,19
2022-03-29 00:00:00+00:00,20
2022-06-13 00:00:00+00:00,21
2022-06-29 00:00:00+00:00,22
2022-06-30 00:00:00+00:00,23
2022-07-06 00:00:00+00:00,24
2022-07-10 00:00:00+00:00,25
2022-07-15 00:00:00+00:00,26
2022-10-25 00:00:00+00:00,27
2022-11-17 00:00:00+00:00,28
2023-01-19 00:00:00+00:00,29
2023-06-05 00:00:00+00:00,30
2023-07-11 00:00:00+00:00,31
2023-08-18 00:00:00+00:00,32
