time_iso8601,stars_cumulative
2021-01-25 00:00:00+00:00,1
2021-01-26 00:00:00+00:00,5
2021-01-27 00:00:00+00:00,6
2021-01-28 00:00:00+00:00,7
2021-02-07 00:00:00+00:00,8
2021-02-08 00:00:00+00:00,9
2021-03-03 00:00:00+00:00,10
2021-03-11 00:00:00+00:00,11
2021-04-02 00:00:00+00:00,20
2021-04-03 00:00:00+00:00,21
2021-04-20 00:00:00+00:00,22
2021-04-21 00:00:00+00:00,23
2021-04-23 00:00:00+00:00,25
2021-04-27 00:00:00+00:00,36
2021-04-28 00:00:00+00:00,46
2021-04-29 00:00:00+00:00,47
2021-05-01 00:00:00+00:00,48
2021-05-06 00:00:00+00:00,53
2021-05-10 00:00:00+00:00,54
2021-05-18 00:00:00+00:00,55
2021-05-26 00:00:00+00:00,56
2021-05-30 00:00:00+00:00,57
2021-06-03 00:00:00+00:00,58
2021-06-04 00:00:00+00:00,59
2021-06-05 00:00:00+00:00,60
2021-06-07 00:00:00+00:00,61
2021-06-11 00:00:00+00:00,62
2021-06-14 00:00:00+00:00,63
2021-06-16 00:00:00+00:00,64
2021-07-12 00:00:00+00:00,65
2021-07-19 00:00:00+00:00,66
2021-07-26 00:00:00+00:00,67
2021-07-27 00:00:00+00:00,69
2021-08-01 00:00:00+00:00,71
2021-08-02 00:00:00+00:00,72
2021-08-09 00:00:00+00:00,73
2021-08-21 00:00:00+00:00,74
2021-08-22 00:00:00+00:00,75
2021-08-23 00:00:00+00:00,81
2021-08-24 00:00:00+00:00,83
2021-09-08 00:00:00+00:00,84
2021-09-21 00:00:00+00:00,94
2021-09-22 00:00:00+00:00,107
2021-09-23 00:00:00+00:00,111
2021-09-25 00:00:00+00:00,112
2021-09-26 00:00:00+00:00,114
2021-09-27 00:00:00+00:00,118
2021-09-28 00:00:00+00:00,123
2021-09-30 00:00:00+00:00,124
2021-10-01 00:00:00+00:00,125
2021-10-02 00:00:00+00:00,126
2021-10-05 00:00:00+00:00,127
2021-10-07 00:00:00+00:00,128
2021-10-08 00:00:00+00:00,129
2021-10-09 00:00:00+00:00,130
2021-10-13 00:00:00+00:00,131
2021-10-20 00:00:00+00:00,132
2021-11-05 00:00:00+00:00,133
2021-11-06 00:00:00+00:00,136
