if              - 0.15749059356523074
alias           - 0.11932734392997005
echo            - 0.08362128541810643
local           - 0.08277662596943869
return          - 0.04576518467327037
for             - 0.042232972433387084
function        - 0.028795208477309375
printf          - 0.027873761806035475
command         - 0.023880826230515243
file            - 0.017200337863779468
sed             - 0.01704676341856715
case            - 0.016278891192505567
grep            - 0.01528065729862551
exit            - 0.015050295630807033
shift           - 0.014973508408200876
install         - 0.014435997849957766
as              - 0.011825232281348384
awk             - 0.011825232281348384
source          - 0.010750211164862166
set             - 0.010212700606619059
builtin         - 0.008830530599708208
eval            - 0.008600168931889734
true            - 0.008216232818858941
read            - 0.008062658373646624
unset           - 0.0070644244797665665
rm              - 0.006526913921523459
while           - 0.0064501266989173
export          - 0.006296552253704984
mkdir           - 0.005298318359824925
cd              - 0.00506795669200645
cat             - 0.004453658911157184
which           - 0.004453658911157184
break           - 0.00414651002073255
cut             - 0.00414651002073255
test            - 0.0039929355755202334
sudo            - 0.003916148352914075
sort            - 0.0036857866850956
tr              - 0.0035322122398832832
at              - 0.0034554250172771253
head            - 0.0033018505720648086
curl            - 0.00322506334945865
help            - 0.002994701681640175
named           - 0.002994701681640175
declare         - 0.0029179144590340167
find            - 0.0029179144590340167
xargs           - 0.0028411272364278583
false           - 0.0027643400138217
script          - 0.0027643400138217
make            - 0.0023804039007909086
ls              - 0.00230361667818475
hash            - 0.0021500422329724335
more            - 0.0021500422329724335
info            - 0.002073255010366275
type            - 0.002073255010366275
history         - 0.0019964677877601167
mv              - 0.0019964677877601167
tee             - 0.0019196805651539584
cp              - 0.0017661061199416416
exec            - 0.0017661061199416416
chmod           - 0.0016893188973354835
readonly        - 0.0016893188973354835
open            - 0.001612531674729325
continue        - 0.0015357444521231667
env             - 0.0015357444521231667
format          - 0.0015357444521231667
last            - 0.0015357444521231667
wc              - 0.0014589572295170084
dir             - 0.00138217000691085
man             - 0.00138217000691085
tail            - 0.00138217000691085
reset           - 0.0012285955616985335
sleep           - 0.0012285955616985335
until           - 0.0012285955616985335
time            - 0.001151808339092375
write           - 0.001151808339092375
enable          - 0.0010750211164862167
select          - 0.0010750211164862167
tar             - 0.0010750211164862167
yes             - 0.0010750211164862167
wget            - 9.982338938800584E-4
clear           - 9.214466712739E-4
link            - 9.214466712739E-4
bash            - 8.446594486677417E-4
disable         - 8.446594486677417E-4
emacs           - 8.446594486677417E-4
free            - 8.446594486677417E-4
id              - 8.446594486677417E-4
iptables        - 8.446594486677417E-4
less            - 8.446594486677417E-4
screen          - 8.446594486677417E-4
touch           - 8.446594486677417E-4
cc              - 7.678722260615834E-4
diff            - 7.678722260615834E-4
init            - 7.678722260615834E-4
let             - 7.678722260615834E-4
uniq            - 7.678722260615834E-4
paste           - 6.91085003455425E-4
perl            - 6.91085003455425E-4
wait            - 6.91085003455425E-4
addresses       - 6.142977808492667E-4
chown           - 6.142977808492667E-4
gpg             - 6.142977808492667E-4
host            - 6.142977808492667E-4
most            - 6.142977808492667E-4
zgrep           - 6.142977808492667E-4
access          - 5.375105582431084E-4
apt-get         - 5.375105582431084E-4
cron            - 5.375105582431084E-4
import          - 5.375105582431084E-4
kill            - 5.375105582431084E-4
ln              - 5.375105582431084E-4
look            - 5.375105582431084E-4
netstat         - 5.375105582431084E-4
route           - 5.375105582431084E-4
sh              - 5.375105582431084E-4
top             - 5.375105582431084E-4
trap            - 5.375105582431084E-4
users           - 5.375105582431084E-4
ip              - 4.6072333563695E-4
join            - 4.6072333563695E-4
login           - 4.6072333563695E-4
merge           - 4.6072333563695E-4
ps              - 4.6072333563695E-4
size            - 4.6072333563695E-4
split           - 4.6072333563695E-4
strings         - 4.6072333563695E-4
tty             - 4.6072333563695E-4
xz              - 4.6072333563695E-4
basename        - 3.839361130307917E-4
comm            - 3.839361130307917E-4
dump            - 3.839361130307917E-4
logrotate       - 3.839361130307917E-4
ping            - 3.839361130307917E-4
popd            - 3.839361130307917E-4
restore         - 3.839361130307917E-4
rpm             - 3.839361130307917E-4
unalias         - 3.839361130307917E-4
vim             - 3.839361130307917E-4
aptitude        - 3.0714889042463337E-4
chsh            - 3.0714889042463337E-4
date            - 3.0714889042463337E-4
dig             - 3.0714889042463337E-4
dirs            - 3.0714889042463337E-4
expand          - 3.0714889042463337E-4
getopts         - 3.0714889042463337E-4
lsof            - 3.0714889042463337E-4
mail            - 3.0714889042463337E-4
nohup           - 3.0714889042463337E-4
pushd           - 3.0714889042463337E-4
pwd             - 3.0714889042463337E-4
sha1sum         - 3.0714889042463337E-4
timeout         - 3.0714889042463337E-4
times           - 3.0714889042463337E-4
uname           - 3.0714889042463337E-4
w               - 3.0714889042463337E-4
du              - 2.30361667818475E-4
egrep           - 2.30361667818475E-4
getent          - 2.30361667818475E-4
iconv           - 2.30361667818475E-4
locate          - 2.30361667818475E-4
notify-send     - 2.30361667818475E-4
reboot          - 2.30361667818475E-4
ssh             - 2.30361667818475E-4
stat            - 2.30361667818475E-4
strfile         - 2.30361667818475E-4
sync            - 2.30361667818475E-4
ar              - 1.5357444521231668E-4
banner          - 1.5357444521231668E-4
column          - 1.5357444521231668E-4
df              - 1.5357444521231668E-4
fgrep           - 1.5357444521231668E-4
fmt             - 1.5357444521231668E-4
fuser           - 1.5357444521231668E-4
groups          - 1.5357444521231668E-4
