Name           Category           Description
--------------------------------------------------------------------------------
chcon            DFS        Changes file security context (SELinux)
chgrp            DFS        Changes file group ownership
chown            DFS        Changes file ownership
chmod            DFS        Changes the permissions of a file or directory
cp               DFS        Copies a file or directory
dd               DFS        Copies and converts a file
df              info.       Shows disk free space on file systems
dir             info.       Is exactly like "ls -C -b". (Files are by default listed in columns and sorted vertically.)
dircolors       envr.       Set up color for ls
install          DFS        Copies files and set attributes
ln               DFS        Creates a link to a file
ls              info.       Lists the files in a directory
mkdir            DFS        Creates a directory
mktemp           DFS        Creates a temporary file or directory
mv               DFS        Moves files or rename files
realpath         DFS        Returns the resolved absolute or relative path for a file
rm               DFS        Removes (deletes) files, directories, device nodes and symbolic links
rmdir            DFS        Removes empty directories
shred            DFS        Overwrites a file to hide its contents, and optionally deletes it
sync             DFS        Flushes file system buffers
touch            DFS        Changes file timestamps
truncate         DFS        Shrink or extend the size of a file to the specified size
vdir             DFS        Is exactly like "ls -l -b". (Files are by default listed in long format.)
b2sum           pure        Computes and checks BLAKE2b message digest
base32          pure        Encodes or decodes Base32, and prints result to standard output
base64          pure        Encodes or decodes Base64, and prints result to standard output
cat             generator    Concatenates and prints files on the standard output
cksum           pure        Checksums and count the bytes in a file
comm            l-stateless*    Compares two sorted files line by line
csplit          DFS            Splits a file into sections determined by context lines
cut             l-stateless    Removes sections from each line of files
expand          l-stateless    Converts tabs to spaces
fmt             p-stateless    Simple optimal text formatter [nv: might need to fill from next line]
fold            l-stateless    Wraps each input line to fit in specified width [nv: like map, from one to two lines]
head            l-stateless    Outputs the first part of files [nv: if we have chunks and watermarks, then this is trivially parallelizable]
join            l-stateless    Joins lines of two files on a common field
md5sum          pure    Computes and checks MD5 message digest
nl              l-stateless    Numbers lines of files
numfmt          l-stateless    Reformat numbers
od              stateless*     Dumps files in octal and other formats [nv: but changes \n location]
paste           l-stateless    Merges lines of files
ptx             ?    Produces a permuted index of file contents [nv: not sure about its invariants]
pr              pure    Converts text files for printing
sha1sum,        pure           Computes and checks SHA-1/SHA-2 message digests
sha224sum,      pure           Computes and checks SHA-1/SHA-2 message digests
sha256sum,      pure           Computes and checks SHA-1/SHA-2 message digests
sha384sum,      pure           Computes and checks SHA-1/SHA-2 message digests
sha512sum       pure           Computes and checks SHA-1/SHA-2 message digests
shuf            stateless      generate random permutations
sort            pure           sort lines of text files
split           DFS*    Splits a file into pieces [nv: splitting is pure]
sum             pure    Checksums and counts the blocks in a file
tac             pure    Concatenates and prints files in reverse order line by line
tail            pure    Outputs the last part of files
tr              stateless    Translates or deletes characters
tsort           pure         Performs a topological sort
unexpand        stateless    Converts spaces to tabs
uniq            l-stateless*   Removes duplicate lines from a sorted file
wc              l-stateless    Prints the number of bytes, words, and lines in files
basename        stateless      Removes the path prefix from a given pathname
dirname         stateless      Strips non-directory suffix from file name
expr           stateless        Evaluates expressions [nv: not shell, but math etc]
factor         stateless        Factors numbers
test            stateless    Evaluates an expression
yes          stateless    Prints a string repeatedly
pathchk         stateless      Checks whether file names are valid or portable
seq             generator      Prints a sequence of numbers
echo            stateless      Displays a specified line of text
printf          stateless      Formats and prints data

arch            info.           Prints machine hardware name (same as uname -m)
chroot          envr?    Changes the root directory
date            info.           Prints or sets the system date and time
du              info.           Shows disk usage on file systems
env             envr.    Displays and modifies environment variables
groups          info.           Prints the groups of which the user is a member
hostid          info.           Prints the numeric identifier for the current host
id              info.           Prints real or effective UID and GID
pinky           info.           A lightweight version of finger
link             DFS            Creates a link to a file
logname         info.           Print the user's login name
nice         Side-effects    Modifies scheduling priority
nohup        Side-effects    Allows a command to continue running after logging out
nproc        Side-effects    Queries the number of (active) processors
sleep        Side-effects    Delays for a specified amount of time
true         Side-effects    Does nothing, but exits successfully
false        Side-effects    Does nothing, but exits unsuccessfully
printenv        info.    Prints environment variables
pwd             info.           Prints the current working directory
readlink         DFS            Displays value of a symbolic link
runcon           ?    Run command with specified security context
stat            info.    Returns data about an inode
stdbuf          stateless?      Controls buffering for commands that use stdio
stty            env    Changes and prints terminal line settings
tee             ?    Sends output to multiple files
timeout         info.    Run a command with a time limit
tty             info.    Prints terminal name
uname           info.    Prints system information
unlink           DFS    Removes the specified file using the unlink function
uptime          info.    Tells how long the system has been running
users           info.    Prints the user names of users currently logged into the current host
who             info.    Prints a list of all users currently logged in
whoami          info.    Prints the effective userid
mkfifo             ?     Makes named pipes (FIFOs)
mknod              ?     Makes block or character special files
